INPUT_1_FACTSII_DBA,INPUT_1_RECORD_ID,INPUT_1_PREMISESADDRESS,INPUT_1_PREMISESCITYSTATEZIP,INPUT_1_BORO,OUTPUT_X_Coordinate,OUTPUT_Y_Coordinate,entity_ID,CUISINE
BONMi VIETNAMESE RESTAURANT,50061322,119 E 23RD ST FRNT,"NEW YORK, NY 10010-4550",MANHATTAN,988283,208811,50061322,Vietnamese/Cambodian/Malaysia
BONUS ROOM,50044543,991 WYCKOFF AVE BLDG 1,"RIDGEWOOD, NY 11385-5309",QUEENS,1010630,192882,50044543,American
BOQUERIA,50012132,1460 2ND AVE FRNT 1,"NEW YORK, NY 10075-2273",MANHATTAN,996347,220386,50012132,Tapas
BORO HOTEL,50034819,3828 27TH ST LBBY,"LONG ISLAND CITY, NY 11101-2702",QUEENS,1002151,214361,50034819,American
BOSTON MARKET,50058285,5520 BROADWAY,"BRONX, NY 10463-5235",BRONX,1010274,258953,50058285,American
BOUCHERIE,50054294,99 7TH AVE S,"NEW YORK, NY 10014",MANHATTAN,983375,206310,50054294,French
BOURBON SPRINGS,50040681,425 GRAHAM AVE,"BROOKLYN, NY 11211-1414",BROOKLYN,999518,200773,50040681,Creole
BREADS BAKERY,50036737,41 W 40TH ST UNIT 4,"NEW YORK, NY 10018-2601",MANHATTAN,988899,213541,50036737,American
BREADS BAKERY,50046273,1890 BROADWAY,"NEW YORK, NY 10023-7006",MANHATTAN,989197,220167,50046273,Bakery
BREEZES ISLAND GRILL RESTAUANT & LOUNGE,50056569,23006 S CONDUIT AVE,"SPRINGFIELD GARDENS, NY 11413-3646",QUEENS,1054420,181820,50056569,Caribbean
BRICOLAGE,50018819,162 5TH AVE STE 1,"BROOKLYN, NY 11217-4414",BROOKLYN,989942,186246,50018819,Vietnamese/Cambodian/Malaysia
BRIK BAR LOUNGE & KITCHEN,50012102,3216 STEINWAY ST,"ASTORIA, NY 11103-4006",QUEENS,1006591,215646,50012102,American
BRISAS DEL MAR RESTAURANT II,50056255,160 BEACH 116TH ST FL 1,"ROCKAWAY PARK, NY 11694-2410",QUEENS,1029621,150229,50056255,Mexican
BROMPTON CAFE,50017560,64 N 9TH ST,"BROOKLYN, NY 11249-1931",BROOKLYN,995380,201955,50017560,Caf&eacute;/Coffee/Tea
BROOKLYN ATE BAR,50034669,199 RUSSELL ST,"BROOKLYN, NY 11222-1862",BROOKLYN,999558,204221,50034669,American
BROOKLYN BREAD LAB,50043803,201 MOORE ST BLDG B,"BROOKLYN, NY 11206-3707",BROOKLYN,1001794,195880,50043803,Bakery
BROOKLYN GREENERY,50017438,560 FLATBUSH AVE,"BROOKLYN, NY 11225-4804",BROOKLYN,995173,179799,50017438,"Juice, Smoothies, Fruit Salads"
BROOKLYN ROASTING COMPANY,50053799,2 MAIN ST,"BROOKLYN, NY 11201-1020",BROOKLYN,986836,195693,50053799,Caf&eacute;/Coffee/Tea
BROOKLYN ROASTING COMPANY,50055512,1 DEKALB AVE STE 3,"BROOKLYN, NY 11201-5324",BROOKLYN,989079,190658,50055512,Other
BROOKLYN ROASTING WORKS,50033668,50 W. 23RD STREET UNIT RETAIL C,"NEW YORK, NY 10010-5205",MANHATTAN,986690,209688,50033668,Caf&eacute;/Coffee/Tea
BROOKLYN ROASTING WORKS LLC,50051810,67 WEST ST,"BROOKLYN, NY 11222-2093",BROOKLYN,995591,204750,50051810,Caf&eacute;/Coffee/Tea
BROOKLYN STEAK CO.,50004901,1316 AVENUE M FRNT,"BROOKLYN, NY 11230-5206",BROOKLYN,994899,164369,50004901,Jewish/Kosher
BROOKSIDE MARKET,50063628,4315 QUEENS BLVD FRNT,"SUNNYSIDE, NY 11104-4609",QUEENS,1006072,210150,50063628,Caf&eacute;/Coffee/Tea
BROWNY,50043878,19519 NORTHERN BLVD FL 1,"FLUSHING, NY 11358-3034",QUEENS,1043422,215494,50043878,Caf&eacute;/Coffee/Tea
BUBBLE BAM,50064206,822 KINGS HWY,"BROOKLYN, NY 11223-2240",BROOKLYN,994152,160264,50064206,Caf&eacute;/Coffee/Tea
